subset,order_sequence,order_min,order_max,n_obs,distribution,delta_min,delta_max,mu_degree,sigma_degree,nll,rmse,mae,success,message,beta_mu_0,beta_mu_1,beta_sigma_0,beta_sigma_1,beta_sigma_2
order_40,40,40,40,4582,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7952766867173642,0.5578586187937856,0.4439588418384083,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.525876041069193,0.10382012703807414,-0.4493139978893786,0.03110381039806021,0.01343146291073666
order_41,41,41,41,4472,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7920041272902685,0.5561080627621808,0.4415823415670552,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.512219333126642,0.11451914158586948,-0.4387204929734212,-0.0533502869410544,0.08448597307631664
order_42,42,42,42,4375,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7953058968363151,0.5592733148104595,0.4427231261780888,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.523103362693671,0.14151857204653012,-0.43059312768201,-0.10553503291437458,0.1588349812159549
order_43,43,43,43,4272,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.807318556258655,0.5684024001910629,0.450721890946707,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5373640406479222,0.14936463654180668,-0.413035234136178,-0.023945798704963654,0.09270249236610054
order_44,44,44,44,4180,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8087613778486068,0.5703382092611288,0.45290994605809876,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5245717977920155,0.14685098202101066,-0.39454923520755486,-0.1293919643500562,0.20184843288278712
order_45,45,45,45,4084,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8050096093261534,0.5662610527221222,0.4499453298208778,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5262369307609693,0.13167872754139334,-0.38833783222073287,-0.07959768978386743,0.0898387863893115
order_46,46,46,46,3989,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.8005481916414766,0.563219897867129,0.44448659968723064,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5394267643756675,0.16295160737643805,-0.37157698031955616,-0.08624178438838968,0.038092447321303693
order_47,47,47,47,3907,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7962572353890596,0.56021604707389,0.44152806597335686,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5491604173026767,0.18255693052896277,-0.3874203119213369,0.020986996504414424,-0.08368263446325443
order_48,48,48,48,3822,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7951032496061577,0.5596308008989128,0.4416613264685677,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-0.5449806778861348,0.18865882789954969,-0.4234825247656575,0.08713233169004632,-0.09207653899817299
order_49,49,49,49,3739,truncated_gaussian,-1.7558835788836342,0.7095271785150208,1,2,0.7852702636764233,0.5523384595604883,0.4349265961410269,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,-0.5498147327422654,0.20125987825153607,-0.460912636801803,0.04555031178698647,-0.016896642555033044
